Model,Mean F1,Std Dev,Time (s)
CatBoost,0.9091874177915708,0.0020258626502390503,58.30012583732605
LightGBM,0.9087292222673827,0.0019643319776887955,16.772652864456177
TabNet,0.7015945149240231,0.019015085067421635,12.814206838607788
TabPFN,0.8343788165866259,0.0073382783498507935,5344.400203227997
